,jan_unique,feb_unique,march_unique
0,189314,32661.0,189314.0
1,46268,77901.0,77901.0
2,55271,36635.0,199763.0
3,170766,193104.0,162631.0
4,182276,77745.0,119697.0
5,74628,170174.0,89798.0
6,122584,164004.0,61516.0
7,170174,122584.0,77745.0
8,77745,66762.0,164004.0
9,55369,145104.0,122584.0
10,42531,106508.0,66762.0
11,60231,73210.0,142194.0
12,66762,52850.0,193036.0
13,161206,20855.0,57835.0
14,3452,161206.0,42387.0
15,193036,86029.0,175955.0
16,42387,193036.0,144909.0
17,151804,9197.0,128934.0
18,62642,47963.0,26893.0
19,127850,27876.0,53047.0
20,68800,151259.0,171586.0
21,148431,24582.0,22534.0
22,120371,144909.0,93174.0
23,98294,154812.0,47628.0
24,172653,105919.0,100771.0
25,49442,123102.0,187466.0
26,112916,187153.0,189081.0
27,78646,98294.0,175582.0
28,46608,192119.0,21196.0
29,169327,192914.0,188210.0
30,88392,135672.0,102620.0
31,119048,46097.0,47827.0
32,145504,19943.0,183383.0
33,154473,66598.0,122286.0
34,108129,125092.0,161917.0
35,78914,67529.0,185451.0
36,24582,46444.0,172023.0
37,164024,141430.0,192119.0
38,17344,130739.0,58266.0
39,171463,83896.0,112916.0
40,71382,105620.0,24582.0
41,190191,42849.0,71382.0
42,148274,153697.0,169072.0
43,89928,112514.0,149163.0
44,192162,192208.0,160482.0
45,46140,138055.0,179762.0
46,156920,59986.0,148274.0
47,59454,37827.0,130739.0
48,78645,75173.0,86676.0
49,6014,32581.0,190191.0
50,70892,166201.0,115643.0
51,92309,65516.0,118918.0
52,130034,62006.0,76337.0
53,138055,40906.0,55529.0
54,79348,186686.0,52458.0
55,3580,14874.0,69650.0
56,140507,124252.0,67529.0
57,66504,169265.0,171522.0
58,163261,43860.0,189413.0
59,26179,100305.0,39916.0
60,36787,193154.0,19960.0
61,83841,99071.0,130034.0
62,101925,33824.0,59986.0
63,17746,57801.0,70651.0
64,103003,75795.0,106210.0
65,68240,172023.0,59140.0
66,69750,95960.0,116485.0
67,50628,38832.0,50932.0
