,,booking_id.jan,amount.jan,room_night.jan,booking_id.feb,amount.feb,room_night.feb,booking_id.march,amount.march,room_night.feb
0,220,2.0,3443.0,1 days 00:00:00.000000000,,,,1.0,1949.0,
1,765,1.0,1949.0,1 days 00:00:00.000000000,,,,,,
2,1864,2.0,4288.0,2 days 00:00:00.000000000,1.0,1494.0,1 days 00:00:00.000000000,,,1 days 00:00:00.000000000
3,2162,1.0,4159.0,1 days 00:00:00.000000000,,,,,,
4,2202,2.0,15918.0,5 days 00:00:00.000000000,,,,,,
5,2827,1.0,4157.0,2 days 00:00:00.000000000,,,,1.0,5197.0,
6,3145,1.0,1884.0,1 days 00:00:00.000000000,1.0,1884.0,1 days 00:00:00.000000000,,,1 days 00:00:00.000000000
7,3424,1.0,2599.0,1 days 00:00:00.000000000,1.0,2014.0,1 days 00:00:00.000000000,1.0,1819.0,1 days 00:00:00.000000000
8,3449,2.0,5978.0,2 days 00:00:00.000000000,,,,,,
9,3452,1.0,5977.0,2 days 00:00:00.000000000,,,,,,
10,3580,1.0,4677.0,2 days 00:00:00.000000000,,,,,,
11,3585,1.0,2729.0,,,,,,,
12,3770,1.0,2339.0,1 days 00:00:00.000000000,,,,,,
13,3929,3.0,13708.0,5 days 00:00:00.000000000,,,,,,
14,4043,1.0,2729.0,,,,,,,
15,4121,2.0,4288.0,,,,,2.0,4523.0,
16,4595,2.0,4678.0,1 days 00:00:00.000000000,,,,1.0,2209.0,
17,4675,1.0,2404.0,1 days 00:00:00.000000000,2.0,4743.0,1 days 00:00:00.000000000,,,1 days 00:00:00.000000000
18,5049,1.0,2469.0,1 days 00:00:00.000000000,,,,1.0,2014.0,
19,5977,1.0,926.0,1 days 00:00:00.000000000,3.0,6627.0,3 days 00:00:00.000000000,,,3 days 00:00:00.000000000
20,6014,1.0,1754.0,1 days 00:00:00.000000000,,,,,,
21,6033,1.0,2209.0,,,,,,,
22,6284,1.0,2339.0,,1.0,1888.0,1 days 00:00:00.000000000,1.0,1888.0,1 days 00:00:00.000000000
23,6513,1.0,2924.0,1 days 00:00:00.000000000,,,,1.0,3054.0,
24,6989,1.0,2209.0,1 days 00:00:00.000000000,,,,,,
25,7121,1.0,2079.0,1 days 00:00:00.000000000,,,,,,
26,7282,1.0,2469.0,1 days 00:00:00.000000000,,,,,,
27,7326,2.0,3768.0,2 days 00:00:00.000000000,,,,,,
28,7412,2.0,7668.0,1 days 00:00:00.000000000,,,,,,
29,7701,1.0,3574.0,1 days 00:00:00.000000000,,,,,,
30,7731,1.0,1949.0,,1.0,2014.0,1 days 00:00:00.000000000,2.0,4093.0,1 days 00:00:00.000000000
31,7936,1.0,2729.0,1 days 00:00:00.000000000,,,,,,
32,7970,2.0,3768.0,2 days 00:00:00.000000000,2.0,3313.0,1 days 00:00:00.000000000,1.0,1624.0,1 days 00:00:00.000000000
33,7971,3.0,9747.0,1 days 00:00:00.000000000,,,,,,
34,8066,1.0,1949.0,,2.0,3638.0,1 days 00:00:00.000000000,,,1 days 00:00:00.000000000
35,8240,1.0,28882.0,13 days 00:00:00.000000000,,,,,,
36,8244,1.0,1949.0,1 days 00:00:00.000000000,,,,,,
37,8353,1.0,1949.0,,1.0,1819.0,,2.0,3188.0,
38,8380,1.0,1624.0,1 days 00:00:00.000000000,2.0,13318.0,5 days 00:00:00.000000000,,,5 days 00:00:00.000000000
39,8605,1.0,2144.0,,,,,1.0,2339.0,
40,8760,1.0,2469.0,1 days 00:00:00.000000000,1.0,2729.0,1 days 00:00:00.000000000,1.0,7601.0,1 days 00:00:00.000000000
41,8861,1.0,2144.0,1 days 00:00:00.000000000,,,,,,
42,8873,1.0,7371.0,5 days 00:00:00.000000000,,,,,,
43,8875,1.0,2092.0,,,,,,,
44,9133,1.0,2404.0,,1.0,7233.0,2 days 00:00:00.000000000,1.0,2014.0,2 days 00:00:00.000000000
45,9197,2.0,6274.0,,2.0,12235.0,,1.0,1906.0,
46,9198,1.0,4354.0,1 days 00:00:00.000000000,,,,,,
47,9338,1.0,3574.0,1 days 00:00:00.000000000,,,,,,
48,9671,1.0,4324.0,2 days 00:00:00.000000000,,,,,,
49,10453,3.0,9028.0,3 days 00:00:00.000000000,,,,,,
50,11332,1.0,11692.0,6 days 00:00:00.000000000,,,,,,
51,11342,2.0,12992.0,2 days 00:00:00.000000000,,,,,,
52,11404,1.0,1819.0,,,,,,,
53,11659,1.0,6237.0,2 days 00:00:00.000000000,,,,,,
54,12023,1.0,2794.0,1 days 00:00:00.000000000,,,,,,
55,12255,4.0,18336.0,2 days 00:00:00.000000000,,,,,,
56,12485,1.0,2209.0,1 days 00:00:00.000000000,,,,2.0,8054.0,
57,12781,1.0,3119.0,1 days 00:00:00.000000000,,,,,,
58,13091,2.0,3378.0,2 days 00:00:00.000000000,,,,5.0,9114.0,
59,13131,1.0,2144.0,1 days 00:00:00.000000000,,,,,,
60,13139,3.0,6432.0,,,,,,,
61,13209,1.0,4939.0,,,,,,,
62,13378,3.0,5554.0,1 days 00:00:00.000000000,2.0,5029.0,1 days 00:00:00.000000000,,,1 days 00:00:00.000000000
63,13402,1.0,6562.0,2 days 00:00:00.000000000,,,,,,
64,13601,1.0,3054.0,1 days 00:00:00.000000000,,,,,,
65,13793,1.0,2339.0,1 days 00:00:00.000000000,,,,,,
66,13794,1.0,4874.0,,,,,,,
67,13951,3.0,8575.0,4 days 00:00:00.000000000,1.0,3442.0,,2.0,4481.0,
68,13959,1.0,8637.0,4 days 00:00:00.000000000,,,,1.0,2192.0,
69,14120,1.0,2274.0,1 days 00:00:00.000000000,,,,,,
70,14499,1.0,59254.0,,1.0,1429.0,1 days 00:00:00.000000000,,,1 days 00:00:00.000000000
71,14601,3.0,6042.0,2 days 00:00:00.000000000,,,,2.0,4743.0,
72,14623,1.0,2726.0,,,,,,,
73,14687,1.0,1819.0,1 days 00:00:00.000000000,,,,,,
74,14742,1.0,6044.0,1 days 00:00:00.000000000,,,,,,
75,14755,1.0,1429.0,1 days 00:00:00.000000000,,,,,,
76,14778,1.0,11307.0,,1.0,7406.0,,,,
77,15037,1.0,1884.0,,,,,,,
78,15300,1.0,3119.0,,,,,,,
79,15445,2.0,9488.0,,,,,2.0,6238.0,
80,15533,1.0,3901.0,1 days 00:00:00.000000000,,,,,,
81,15656,1.0,10267.0,,,,,,,
82,15767,1.0,3574.0,1 days 00:00:00.000000000,,,,,,
83,15775,1.0,2209.0,1 days 00:00:00.000000000,,,,,,
84,15900,3.0,5240.0,2 days 00:00:00.000000000,1.0,2209.0,1 days 00:00:00.000000000,,,1 days 00:00:00.000000000
85,16015,1.0,1457.0,1 days 00:00:00.000000000,,,,,,
86,16173,1.0,1494.0,,,,,,,
87,16277,1.0,27937.0,,,,,,,
88,16287,1.0,2192.0,1 days 00:00:00.000000000,,,,,,
89,16292,1.0,2404.0,1 days 00:00:00.000000000,,,,,,
90,16566,1.0,6755.0,,,,,,,
91,16744,1.0,2339.0,1 days 00:00:00.000000000,,,,,,
92,16808,2.0,7794.0,2 days 00:00:00.000000000,,,,,,
93,17344,1.0,4352.0,2 days 00:00:00.000000000,,,,,,
94,17641,1.0,1884.0,1 days 00:00:00.000000000,,,,,,
95,17746,1.0,6620.0,,,,,,,
96,17878,1.0,2484.0,,,,,,,
97,18009,1.0,2014.0,,,,,,,
98,18226,1.0,10135.0,,,,,,,
99,18314,1.0,2534.0,,,,,,,
100,18527,1.0,4807.0,2 days 00:00:00.000000000,,,,,,
101,18979,1.0,4679.0,,,,,1.0,5541.0,
102,19017,4.0,17806.0,2 days 00:00:00.000000000,,,,,,
103,19130,1.0,3812.0,2 days 00:00:00.000000000,,,,,,
104,19531,1.0,10787.0,,,,,,,
105,19536,4.0,8511.0,2 days 00:00:00.000000000,,,,2.0,4060.0,
106,19964,1.0,4547.0,,,,,,,
107,20026,3.0,7992.0,3 days 00:00:00.000000000,,,,,,
108,20133,2.0,5718.0,1 days 00:00:00.000000000,,,,1.0,2339.0,
109,20154,1.0,3184.0,1 days 00:00:00.000000000,,,,,,
110,20408,1.0,2534.0,1 days 00:00:00.000000000,,,,,,
111,20597,1.0,11955.0,,1.0,8576.0,3 days 00:00:00.000000000,,,3 days 00:00:00.000000000
112,21016,1.0,2599.0,1 days 00:00:00.000000000,,,,,,
113,21052,2.0,4028.0,2 days 00:00:00.000000000,,,,,,
114,21152,1.0,2014.0,1 days 00:00:00.000000000,1.0,2129.0,,,,
115,21418,1.0,1689.0,,,,,1.0,1949.0,
116,21595,2.0,5458.0,2 days 00:00:00.000000000,,,,,,
117,21667,1.0,3224.0,2 days 00:00:00.000000000,,,,,,
118,21694,3.0,6757.0,,,,,1.0,2404.0,
119,21716,2.0,11308.0,1 days 00:00:00.000000000,2.0,11178.0,2 days 00:00:00.000000000,1.0,6369.0,2 days 00:00:00.000000000
120,21854,2.0,6343.0,,2.0,4094.0,2 days 00:00:00.000000000,,,2 days 00:00:00.000000000
121,22257,1.0,3444.0,,,,,,,
122,22963,2.0,4093.0,1 days 00:00:00.000000000,2.0,4548.0,,2.0,4743.0,
123,23250,1.0,2014.0,1 days 00:00:00.000000000,,,,,,
124,23457,1.0,2274.0,1 days 00:00:00.000000000,,,,,,
125,23503,1.0,2859.0,1 days 00:00:00.000000000,,,,2.0,4743.0,
126,23705,1.0,7472.0,2 days 00:00:00.000000000,,,,,,
127,23806,2.0,3704.0,,,,,,,
128,23913,3.0,9032.0,1 days 00:00:00.000000000,,,,,,
129,24582,1.0,1949.0,1 days 00:00:00.000000000,1.0,4966.0,2 days 00:00:00.000000000,1.0,2859.0,2 days 00:00:00.000000000
130,24613,1.0,4159.0,1 days 00:00:00.000000000,,,,,,
131,24838,1.0,2209.0,1 days 00:00:00.000000000,,,,,,
132,25479,1.0,2729.0,,,,,3.0,13514.0,
133,26072,1.0,3897.0,2 days 00:00:00.000000000,,,,,,
134,26179,1.0,2101.0,1 days 00:00:00.000000000,,,,,,
135,26536,2.0,8054.0,4 days 00:00:00.000000000,,,,,,
136,26820,1.0,2274.0,,,,,,,
137,27204,3.0,14945.0,2 days 00:00:00.000000000,,,,,,
138,27291,1.0,2729.0,1 days 00:00:00.000000000,,,,,,
139,28143,2.0,27288.0,9 days 00:00:00.000000000,,,,,,
140,28584,1.0,2209.0,,,,,,,
141,28805,1.0,2859.0,1 days 00:00:00.000000000,,,,,,
142,28914,1.0,1732.0,1 days 00:00:00.000000000,,,,,,
143,29124,1.0,2144.0,,,,,,,
144,29563,1.0,6776.0,4 days 00:00:00.000000000,,,,,,
145,29619,1.0,2534.0,1 days 00:00:00.000000000,,,,,,
146,29627,3.0,6159.0,1 days 00:00:00.000000000,,,,,,
147,29684,3.0,13387.0,1 days 00:00:00.000000000,,,,,,
148,29885,1.0,4354.0,1 days 00:00:00.000000000,,,,,,
149,30671,1.0,2209.0,,,,,,,
150,30963,1.0,2209.0,1 days 00:00:00.000000000,2.0,5653.0,2 days 00:00:00.000000000,,,2 days 00:00:00.000000000
151,30995,1.0,2404.0,,,,,,,
152,30999,1.0,1949.0,1 days 00:00:00.000000000,,,,,,
153,31449,1.0,2469.0,1 days 00:00:00.000000000,2.0,21951.0,2 days 00:00:00.000000000,,,2 days 00:00:00.000000000
154,31960,1.0,7180.0,3 days 00:00:00.000000000,,,,,,
155,32390,1.0,13256.0,3 days 00:00:00.000000000,,,,,,
156,32837,2.0,4353.0,1 days 00:00:00.000000000,,,,,,
157,32986,1.0,1559.0,1 days 00:00:00.000000000,,,,,,
158,33021,1.0,2252.0,,1.0,2924.0,,,,
159,33193,1.0,2648.0,1 days 00:00:00.000000000,,,,,,
160,33288,1.0,2599.0,1 days 00:00:00.000000000,,,,,,
161,33359,1.0,3054.0,1 days 00:00:00.000000000,,,,,,
