city,hotel_id,amount_sum
Bangalore,56,37649
Bangalore,83,29710
Bangalore,84,47553
Bangalore,86,140707
Bangalore,88,183999
Bangalore,106,150401
Bangalore,107,22936
Bangalore,109,78737
Bangalore,128,37298
Bangalore,152,4613
Bangalore,153,19622
Bangalore,154,60135
Bangalore,160,11631
Bangalore,161,69002
Bangalore,194,21309
Bangalore,195,37311
Bangalore,232,60753
Bangalore,244,37979
Bangalore,245,62441
Bangalore,248,37749
Bangalore,250,22479
Bangalore,251,14748
Bangalore,252,71269
Bangalore,274,25188
Bangalore,295,41711
Bangalore,353,9095
Bangalore,355,5848
Bangalore,382,6562
Bangalore,383,13255
Bangalore,385,10721
Bangalore,401,2209
Bangalore,402,22403
Bangalore,405,5004
Bangalore,408,19553
Bangalore,409,26255
Bangalore,432,12735
Bangalore,468,25537
Bangalore,471,2079
Bangalore,475,1457
Bangalore,486,122327
Bangalore,554,29363
Bangalore,571,158902
Bangalore,583,43137
Bangalore,597,91289
Bangalore,612,38976
Bangalore,684,6368
Bangalore,755,19754
Bangalore,756,16826
Bangalore,757,44096
Bangalore,760,67727
Bangalore,812,4353
Bangalore,837,3444
Bangalore,846,21765
Bangalore,859,14356
Bangalore,874,5522
Bangalore,894,35345
Bangalore,907,2469
Bangalore,933,1780
Bangalore,938,2469
Bangalore,944,64633
Bangalore,975,44067
Chennai,219,5587
Chennai,220,8185
Chennai,280,37376
Chennai,359,15915
Chennai,627,20195
Chennai,633,19365
Chennai,635,19814
Chennai,637,2339
Chennai,691,178729
Chennai,699,12867
Chennai,780,1949
Chennai,820,29759
Chennai,841,2534
Chennai,842,6867
Chennai,856,4484
Chennai,888,24830
Chennai,978,67907
Delhi,25,72471
Delhi,31,31322
Delhi,45,6367
Delhi,48,5718
Delhi,49,5393
Delhi,62,76055
Delhi,73,36775
Delhi,81,2729
Delhi,89,3120
Delhi,91,2404
Delhi,92,15853
Delhi,93,29624
Delhi,99,35743
Delhi,114,9293
Delhi,129,29761
